# z R500Cros08 [kpc/h70] Mgas500Cros08 [log10 Msun/h70^{5/2}] errMgas500Cros08 [log10 Msun/h70^{5/2}] ZCroston [Zsun] errZCroston+ [Zsun] errZCroston- [Zsun] T1Pratt [kev] errT1Pratt+ [keV] errT1Pratt- [keV] L1Pratt [1E44 erg/s/h70^{2}] errL1Pratt [1E44 erg/s/h70^{2}] T2Pratt [keV] errT2Pratt+ [keV] errT2Pratt- [keV] L2Pratt [1E44 erg/s/h70^{2}] errL2Pratt [1E44 erg/s/h70^{2}] T3Pratt [keV] errT3Pratt+ [keV] errT3Pratt- [keV] YxPratt [1E13 Msun/h70^{5/2}.keV] errYxPratt+ [1E13 Msun/h70^{5/2}.keV] errYxPratt- [1E13 Msun/h70^{5/2}.keV] L1ROSATPratt [1E44 erg/s/h70^{2}] errL1ROSATPratt [1E44 erg/s/h70^{2}] L1softPratt [1E44 erg/s/h70^{2}] errL1softPratt [1E44 erg/s/h70^{2}] L2ROSATPratt [1E44 erg/s/h70^{2}] errL2ROSATPratt [1E44 erg/s/h70^{2}] L2softPratt [1E44 erg/s/h70^{2}] errL2softPratt [1E44 erg/s/h70^{2}]
0.0847  842.12  13.247   0.013  0.26  0.03  0.03  2.97  0.06  0.07  1.38  0.01  2.92  0.09  0.07  0.83  0.01  3.44  0.07  0.07  6.07  0.19  0.18  0.83  0.01  0.51  0.00  0.51  0.00  0.31  0.00
0.1832 1319.18  14.019   0.004  0.26  0.02  0.02  8.91  0.08  0.08 36.06  0.08  8.24  0.13  0.13 15.13  0.07  8.44  0.12  0.12 88.18  1.51  1.50 12.48  0.03  7.76  0.02  5.49  0.02  3.41  0.01
0.1181  989.86  13.548   0.008  0.25  0.03  0.03  4.51  0.06  0.06  4.12  0.02  4.18  0.08  0.08  2.77  0.02  4.48  0.07  0.07 15.81  0.30  0.31  2.08  0.01  1.28  0.01  1.45  0.01  0.89  0.01
0.1198  927.02  13.472   0.009  0.30  0.03  0.03  3.55  0.07  0.07  2.31  0.02  3.40  0.08  0.08  1.77  0.02  3.74  0.10  0.09 11.08  0.41  0.36  1.30  0.01  0.80  0.01  1.02  0.01  0.62  0.01
0.1538 1155.29  13.843   0.013  0.27  0.03  0.03  4.78  0.05  0.05 21.06  0.07  5.63  0.11  0.11  7.52  0.07  5.73  0.10  0.10 39.89  0.78  0.82 10.24  0.03  6.34  0.02  3.38  0.03  2.09  0.02
0.0564  739.51  13.014   0.010  0.20  0.04  0.04  2.71  0.09  0.09  0.61  0.01  2.46  0.12  0.12  0.40  0.01  2.72  0.09  0.09  2.81  0.13  0.12  0.39  0.01  0.24  0.00  0.26  0.01  0.16  0.00
0.1475 1077.96  13.730   0.008  0.22  0.03  0.03  4.65  0.13  0.07  5.13  0.03  4.59  0.08  0.08  4.40  0.03  5.01  0.11  0.11 26.91  0.81  0.80  2.55  0.01  1.57  0.01  2.21  0.01  1.36  0.01
0.0796  900.60  13.350   0.008  0.46  0.06  0.06  3.81  0.15  0.15  1.46  0.02  3.64  0.16  0.12  1.19  0.02  3.88  0.14  0.14  8.67  0.40  0.41  0.79  0.01  0.49  0.01  0.65  0.01  0.41  0.01
0.1184  886.56  13.393   0.010  0.26  0.03  0.03  3.26  0.04  0.04  3.56  0.02  3.40  0.08  0.08  1.58  0.02  3.50  0.07  0.07  8.65  0.32  0.32  2.06  0.01  1.27  0.01  0.91  0.01  0.56  0.00
0.0579  751.45  13.047   0.008  0.28  0.03  0.03  2.46  0.08  0.08  0.45  0.01  2.30  0.10  0.06  0.37  0.01  2.76  0.07  0.07  3.07  0.11  0.11  0.29  0.00  0.18  0.00  0.25  0.00  0.15  0.00
0.1486 1022.61  13.638   0.007  0.21  0.03  0.03  4.86  0.09  0.09  6.12  0.03  4.45  0.09  0.09  3.70  0.03  4.65  0.10  0.08 20.32  0.54  0.47  2.98  0.01  1.84  0.01  1.89  0.01  1.16  0.01
0.1411 1130.13  13.747   0.006  0.34  0.05  0.05  5.84  0.11  0.11  9.43  0.06  5.88  0.20  0.15  5.60  0.06  6.16  0.19  0.19 34.36  1.30  1.33  4.13  0.03  2.56  0.02  2.44  0.03  1.51  0.02
0.1510 1283.21  13.984   0.007  0.23  0.03  0.03  7.78  0.15  0.15 19.15  0.11  6.95  0.14  0.14 12.36  0.10  7.30  0.12  0.12 70.43  1.51  1.54  7.20  0.04  4.47  0.03  4.96  0.04  3.07  0.02
0.0984  788.73  13.238   0.010  0.31  0.04  0.04  2.22  0.03  0.03  2.00  0.02  2.48  0.08  0.08  0.97  0.01  2.52  0.07  0.07  4.37  0.16  0.16  1.34  0.01  0.82  0.01  0.63  0.01  0.38  0.01
